Rank,Card,metric
122,Advisor,0.48584298584298585
123,Smugglers,0.48357245337159255
124,Merchant Guild,0.4807597838545931
125,Expand,0.476682450853781
126,Pearl Diver,0.4752397309288679
127,Silk Road,0.46527264666765183
128,Wishing Well,0.4645161290322581
129,Embargo,0.44839255499153974
130,Cartographer,0.4450241984271022
131,Smithy,0.4425218536702191
132,Rabble,0.4423969820081254
133,Harem,0.4374011786689665
134,Forge,0.43500071664038986
135,Embassy,0.43375111906893465
136,Potion,0.4318740732704061
137,Trading Post,0.4304916618746406
138,Storeroom,0.4289727704941651
139,Moat,0.42433669875557645
140,Estate,0.4219273355663175
141,Mint,0.4195583596214511
142,Trader,0.41926303175554225
143,Vault,0.41753321779318314
144,Duke,0.4147371486821028
145,Treasury,0.41431317462664496
146,Council Room,0.41385971266449356
147,Golem,0.4116211682171725
148,Hunting Grounds,0.41031094162511
149,Fairgrounds,0.4087416642505074
150,Catacombs,0.4079395645089616
151,Apothecary,0.4059062829591683
152,Prince,0.40500863557858374
153,Envoy,0.40428937259923176
154,Band of Misfits,0.40346423771838136
155,Loan,0.40108420163334274
156,Vineyard,0.39846339258812896
157,Scavenger,0.3965018791558254
158,Nomad Camp,0.39081738614448897
159,Oracle,0.39010507880910683
160,Baron,0.38883314220183485
161,Horn of Plenty,0.3876570583887657
162,Feodum,0.3726841559211501
163,Journeyman,0.36463022508038584
164,Bank,0.36314609889340244
165,Duchess,0.3533460243080978
166,Mystic,0.35264465225014613
167,Possession,0.3505329831608219
168,Procession,0.3475438855288391
169,Develop,0.3472888501235645
170,Cutpurse,0.33533196841181634
171,Rats,0.3236151603498542
172,Venture,0.3208071876782658
173,Workshop,0.3206632347659524
174,Rogue,0.31658441752654404
175,Poor House,0.31046983758700697
176,Armory,0.3098438855160451
177,Library,0.3075814009371621
178,Pillage,0.30632411067193677
179,Feast,0.30579320459545345
180,Talisman,0.303929944468176
181,Death Cart,0.2989818181818182
182,Spy,0.2966255442670537
183,Taxman,0.2963822634864735
184,Fortune Teller,0.287261698440208
185,Curse,0.28392678087598405
186,Merchant Ship,0.28361858190709044
187,Outpost,0.279705117085863
188,Graverobber,0.27749153540409244
189,Tribute,0.25972877358490565
190,Herbalist,0.25830311820159535
191,Secret Chamber,0.25799944351697274
192,Beggar,0.2579650565262076
193,Woodcutter,0.2502360717658168
194,Saboteur,0.24742571344513092
195,Copper,0.24302903590553196
196,Noble Brigand,0.23580592832915498
197,Masterpiece,0.20495003123048094
198,Mine,0.1891956495757141
199,Pirate Ship,0.1803605733707699
200,Navigator,0.17910228108903606
201,Royal Seal,0.17533856022808267
202,Treasure Map,0.1728483459831018
203,Explorer,0.16666666666666666
204,Mandarin,0.16499928540803202
205,Stash,0.15904821540388228
206,Scout,0.14460315122956854
207,Bureaucrat,0.12880057457505387
208,Philosopher's Stone,0.11460880195599021
209,Harvest,0.1124075953036672
210,Chancellor,0.1122303863474757
211,Contraband,0.1116747642183481
212,Coppersmith,0.11080962158990906
213,Cache,0.10528284944627357
214,Transmute,0.09203234985772053
215,Thief,0.0900784890851116
216,Adventurer,0.08123639003145415
217,Counting House,0.0784158130139951
